"학교명","학교급","주소"
"흥해남산초등학교","초등학교","경상북도 포항시 북구 흥해읍 남미질로 26"
"흥해서부초등학교","초등학교","경상북도 포항시 북구 흥해읍 북송길 53"
"양구고등학교","고등학교","강원특별자치도 양구군 양구읍 중심로 115"
"진안초등학교","초등학교","전북특별자치도 진안군 진안읍 중앙로 55"
"김천생명과학고등학교","고등학교","경상북도 김천시 부거리길 310"
"고색중학교","중학교","경기도 수원시 권선구 매송고색로711번길 50"
"범일중학교","중학교","대구광역시 수성구 지범로41길 23"
"김해중학교","중학교","경상남도 김해시 호계로 456"
"한국국제통상마이스터고등학교","고등학교","경상북도 경주시 감포읍 감포로12길 20"
"숭덕여자중학교","중학교","인천광역시 남동구 만수로73번길 20-23"
"대화초등학교","초등학교","경기도 고양시 일산서구 송포로 50"
"지현초등학교","초등학교","경기도 포천시 화현면 봉화로 926-9"
"금교초등학교","초등학교","경기도 남양주시 미금로 194"
"순심여자고등학교","고등학교","경상북도 칠곡군 왜관읍 남부1길 22"
"유영초등학교","초등학교","경상남도 통영시 중앙로 225"
"전남미용고등학교","고등학교","전라남도 나주시 영산포로 182-9"
"추산초등학교","초등학교","경기도 포천시 소흘읍 솔모루로3번길 52-20"
"원당중학교","중학교","경기도 고양시 덕양구 마상로 1"
"곡선초등학교","초등학교","경기도 수원시 권선구 덕영대로1217번길 36"
"태장초등학교","초등학교","경기도 수원시 영통구 태장로71번길 30"
"내촌초등학교","초등학교","경기도 포천시 내촌면 내촌로 88"
"내촌중학교","중학교","경기도 포천시 내촌면 금강로2259번길 7-7"
"황지고등학교","고등학교","강원특별자치도 태백시 번영로 179"
"영산포초등학교","초등학교","전라남도 나주시 금영로 2-6"
"인천갈월초등학교","초등학교","인천광역시 부평구 주부토로 165"
"무산고등학교","고등학교","경상북도 경주시 건천읍 천포방내길 18"
"관문초등학교","초등학교","경기도 과천시 별양로 180-1"
"세원고등학교","고등학교","경기도 고양시 일산동구 숲속마을로 202"
"동보초등학교","초등학교","경기도 동두천시 강변로640번길 31"
"동두천여자중학교","중학교","경기도 동두천시 평화로2452번길 31"
"문발초등학교","초등학교","경기도 파주시 노을빛로 21"
"경주예일고등학교","고등학교","경상북도 경주시 안강읍 화전길 62-8"
"광릉초등학교","초등학교","경기도 남양주시 진접읍 광릉내로82번길 29"
"대구명덕초등학교","초등학교","대구광역시 중구 남산로2길 125"
"군내초등학교","초등학교","경기도 파주시 군내면 통일촌길 226"
"조원초등학교","초등학교","경기도 수원시 장안구 금당로 53"
"지산초등학교","초등학교","경기도 파주시 경의로 1274"
"보산초등학교","초등학교","경기도 동두천시 중앙로 427"
"장성초등학교","초등학교","경기도 고양시 일산서구 일산로 738"
"솔뫼중학교","중학교","경기도 의정부시 시민로 464-14"
"용문초등학교","초등학교","경상북도 예천군 용문면 금당실길 51-20"
"남양주금곡초등학교","초등학교","경기도 남양주시 금곡로 65-6"
"왕방초등학교","초등학교","경기도 포천시 신북면 학동로 52"
"안중초등학교","초등학교","경기도 평택시 안중읍 안중로 89"
"봉일천초등학교","초등학교","경기도 파주시 조리읍 통일로 333"
"남양주백봉초등학교","초등학교","경기도 남양주시 의안로 158"
"태봉초등학교","초등학교","경기도 포천시 소흘읍 송선로 8"
"광숭초등학교","초등학교","경기도 양주시 삼숭로58번길 100"
"수곡초등학교","초등학교","충청북도 청주시 서원구 수곡로 73"
"영북고등학교","고등학교","경기도 포천시 영북면 영북로 136"
"숙지고등학교","고등학교","경기도 수원시 팔달구 수성로182번길 100"
"안산대월초등학교","초등학교","경기도 안산시 단원구 신길로 67"
"운중고등학교","고등학교","경기도 성남시 분당구 운중로 95"
"고양고등학교","고등학교","경기도 고양시 덕양구 삼송로 171"
"연신중학교","중학교","서울특별시 은평구 연서로33길 16-32"
"성황초등학교","초등학교","전라남도 광양시 지동길 15"
"신장고등학교","고등학교","경기도 하남시 신장동로 19"
"상운초등학교","초등학교","경상북도 봉화군 상운면 예봉로 1231"
"동삼초등학교","초등학교","부산광역시 영도구 태종로 610"
"사직여자고등학교","고등학교","부산광역시 동래구 쇠미로27번길 21"
"보라초등학교","초등학교","경기도 용인시 기흥구 금화로105번길 33"
"문학정보고등학교","고등학교","인천광역시 미추홀구 소성로350번길 29"
"성라초등학교","초등학교","경기도 고양시 덕양구 호국로716번길 13-19"
"축석초등학교","초등학교","경기도 포천시 소흘읍 무란1길 25"
"시흥중학교","중학교","서울특별시 금천구 시흥대로38길 60"
"광주예술고등학교","고등학교","광주광역시 북구 서하로 72"
"신암초등학교","초등학교","광주광역시 서구 풍암2로 56"
"용남초등학교","초등학교","충청남도 계룡시 신도안면 신도안1길 88"
"중산고등학교","고등학교","경기도 고양시 일산동구 중산로 290"
"초곡초등학교","초등학교","경상북도 포항시 북구 흥해읍 초곡지구로58번길 56"
"서울우신초등학교","초등학교","서울특별시 영등포구 신길로 190"
"청룡초등학교","초등학교","충청북도 음성군 삼성면 대청로 255-22"
"가곡고등학교","고등학교","강원특별자치도 삼척시 가곡면 가곡천로 1427"
"해밀초등학교","초등학교","세종특별자치시 해밀1로 73"
"구미인덕중학교","중학교","경상북도 구미시 산동읍 신당인덕3로 33"
"청심국제중학교","중학교","경기도 가평군 설악면 미사리로 324-213"
"과천율목중학교","중학교","경기도 과천시 과천대로2길 37"
"산동초등학교","초등학교","충청남도 아산시 음봉면 산동희망로 10"
"밀성여자중학교","중학교","경상남도 밀양시 밀성로 17"
"다산한강중학교","중학교","경기도 남양주시 다산지금로145번길 20"
"성남고등학교","고등학교","경기도 성남시 중원구 시민로 61"
"도수초등학교","초등학교","경기도 광주시 퇴촌면 도수길 11"
"신가초등학교","초등학교","충청남도 천안시 서북구 성환읍 성환신흥2길 2"
"신현중학교","중학교","경상남도 거제시 서문로1길 17"
